{
debugQuery: { },
pageNumbers: 76,
goodType: "Z001",
commentShow: "80+"
},
saleStatus: 0
},
{
partnumberVendorId: "620551761_0070159386",
vendorId: "0070159386",
vendorName: "海飞官方旗舰店",
inventory: "0",
auxdescription: "【双层外壳】【大尺寸】【四旋钮控制面板】【双进水口 喷淋漂洗】",
brandId: "000023L61",
brandName: "海飞(Haifei)",
catentdesc: "半自动洗衣机9.5公斤海飞XPB95-8950S大容量双桶双缸洗衣机全国联保",
catentryId: "",
countOfarticle: "79",
partnumber: "620551761",
price: "499.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "96.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"499.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"17183266655184636631","short_brand_Id_1":"14729591945968508897","isKAcomoodity":"1","totalCount":"0.000000","countOfarticle":"79","praiseRate":"96.000000","goodsQualityScore":"0.000084","shopQualityScore":"0.649590","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"79","categoryId":"244006","goodQualityScore":"0.000072","totalScore":"3980.988770","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"79","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.486867","goodQualityScore":"0.000072","shopQualityScore":"0.649590","goodAppQualityScore":"0.000168","goodConQualityScore":"0.840000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.000000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
mdmGroupId: "R0401001",
picVersion: "2011",
auxdescription: "【双层外壳】【大尺寸】【四旋钮控制面板】【双进水口 喷淋漂洗】",
ZYLY: "0",
activationFlag: "1",
appAttrTitle: [
"双层外壳",
"四旋钮控制",
"双进水口"
],
attrShow: [
{
attrAppValue: "9-9.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "9-9.9kg",
attrValueId: "1199989",
sort: "39.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://haifei.suning.com",
paramValue: "XPB95-8950S/S9530",
goodType: "Z001",
commentShow: "70+"
},
saleStatus: 0
},
{
partnumberVendorId: "659920462_0070113372",
vendorId: "0070113372",
vendorName: "聚力电器冰洗专营店",
inventory: "0",
auxdescription: "【厂家直销，原产地发货】",
brandId: "000026160",
brandName: "摩尔(more)",
catentdesc: "摩尔(more) XQB45-0125 4.5公斤家用全自动波轮小型洗衣机迷你全自动宝宝婴儿儿童洗衣机单身情侣洗衣机摩",
catentryId: "",
countOfarticle: "2703",
partnumber: "659920462",
price: "499.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "99.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"499.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"10822058383056357845","short_brand_Id_1":"18028015882448302068","isKAcomoodity":"1","totalCount":"20.000000","countOfarticle":"2703","praiseRate":"99.000000","goodsQualityScore":"0.000990","shopQualityScore":"0.764520","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"2703","categoryId":"244006","goodQualityScore":"0.000780","totalScore":"3980.988770","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"2703","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.631801","goodQualityScore":"0.000780","shopQualityScore":"0.764520","goodAppQualityScore":"0.001650","goodConQualityScore":"0.832000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.220994","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
mdmGroupId: "R0401002",
picVersion: "2001",
auxdescription: "【厂家直销，原产地发货】",
ZYLY: "0",
appAttrTitle: [
"迷你洗衣机",
"洗脱一体机",
"全国联保"
],
attrShow: [
{
attrAppValue: "4-5.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4-5.9kg",
attrValueId: "1199976",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://shop.suning.com/70113372/index.html",
paramValue: "XQB45-0125",
goodType: "Z001",
commentShow: "2700+"
},
saleStatus: 0
},
{
partnumberVendorId: "193113029_0000000000",
vendorId: "0000000000",
vendorName: "苏宁自营",
inventory: "0",
auxdescription: "10档水位选择，节能省水！仿生手搓，用心呵护全家健康！海鸥专注洗衣机18年！",
brandId: "0000206G3",
brandName: "海鸥(HAIOU)",
catentdesc: "海鸥(HAIOU)XQB50-5002",
catentryId: "",
countOfarticle: "7701",
partnumber: "193113029",
price: "499.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "98.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"499.000000","mainCommodityId_1":"0","vendorType_1":"14973660089898329583","vendor_Id_1":"17417399685840051433","short_brand_Id_1":"3345836991511030592","isKAcomoodity":"1","totalCount":"1019.000000","countOfarticle":"7701","praiseRate":"98.000000","goodsQualityScore":"0.032724","shopQualityScore":"1.000000","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"7701","categoryId":"244006","goodQualityScore":"0.026052","totalScore":"3980.988770","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"7701","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.660242","goodQualityScore":"0.026052","shopQualityScore":"1.000000","goodAppQualityScore":"0.053988","goodConQualityScore":"0.964000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"1.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.191689","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
subInfos: "{"193113029":{"url":"/uimg1/b2c/image/2Axr8YJdLlgBNwSl6FoNmA==.jpg"}}",
mdmGroupId: "R0401002",
picVersion: "2058",
auxdescription: "10档水位选择，节能省水！仿生手搓，用心呵护全家健康！海鸥专注洗衣机18年！",
activationFlag: "1",
appAttrTitle: [
"紫光抑菌",
"小巧时尚",
"健康分洗"
],
bigPartys: "10532745@11111111@1534521600000@1534780790000@0000000000#",
attrShow: [
{
attrAppValue: "4-5.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4-5.9kg",
attrValueId: "1199976",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
paramValue: "XQB50-5002",
goodType: "Z001",
commentShow: "7700+"
},
saleStatus: 0
},
{
partnumberVendorId: "10541548964_0070181034",
vendorId: "0070181034",
vendorName: "TCL冰洗官方旗舰店",
inventory: "0",
auxdescription: "洗脱分离，AIR DRY呼吸孔，加速甩干；特设洗衣粉投放盒，充分打散洗涤剂，去污更彻底！",
brandId: "000020132",
brandName: "TCL",
catentdesc: "TCL 7.5公斤大容量半自动双桶洗衣机 多功能双缸迷你波轮(白色 7.5公斤) XPB75-2228S",
catentryId: "",
countOfarticle: "256",
partnumber: "10541548964",
price: "499.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "99.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"499.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"7077061217194503050","short_brand_Id_1":"15767943766173850386","isKAcomoodity":"1","totalCount":"17.000000","countOfarticle":"256","praiseRate":"99.000000","goodsQualityScore":"0.001056","shopQualityScore":"0.000000","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"256","categoryId":"244006","goodQualityScore":"0.000732","totalScore":"3980.988770","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"256","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.546304","goodQualityScore":"0.000732","shopQualityScore":"0.000000","goodAppQualityScore":"0.000672","goodConQualityScore":"0.920000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.000000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
subInfos: "{"10541548964":{"url":"/uimg1/b2c/image/oObBOKuFJbVtSQsglrAGcg==.jpg"}}",
mdmGroupId: "R0401001",
picVersion: "2004",
auxdescription: "洗脱分离，AIR DRY呼吸孔，加速甩干；特设洗衣粉投放盒，充分打散洗涤剂，去污更彻底！",
ZYLY: "0",
activationFlag: "1",
attrShow: [
{
attrAppValue: "7-7.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "7-7.9kg",
attrValueId: "1199977",
sort: "39.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://tclbx.suning.com",
paramValue: "XPB75-2228S",
goodType: "Z001",
commentShow: "200+"
},
saleStatus: 0
},
{
partnumberVendorId: "10050578562_0000000000",
vendorId: "0000000000",
vendorName: "苏宁自营",
inventory: "0",
auxdescription: "小鸭加厚款！爸妈喜欢！别再手洗衣服啦！对自己好点儿！晒单还送洗衣球和5冷饮费哦！",
brandId: "000022030",
brandName: "小鸭(LittleDuck)",
catentdesc: "小鸭 4.5公斤 大容量半自动波轮迷你 双桶双缸洗衣机 XPB45-2848CS 白色",
catentryId: "",
countOfarticle: "7341",
partnumber: "10050578562",
price: "499.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "98.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"499.000000","mainCommodityId_1":"0","vendorType_1":"14973660089898329583","vendor_Id_1":"17417399685840051433","short_brand_Id_1":"3267253513702398139","isKAcomoodity":"1","totalCount":"257.000000","countOfarticle":"7341","praiseRate":"98.000000","goodsQualityScore":"0.007116","shopQualityScore":"1.000000","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"7341","categoryId":"244006","goodQualityScore":"0.005028","totalScore":"3980.988770","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"7341","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.659038","goodQualityScore":"0.005028","shopQualityScore":"1.000000","goodAppQualityScore":"0.007728","goodConQualityScore":"0.910000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.000000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
subInfos: "{"10050578562":{"url":"/uimg1/b2c/image/VjVb2QYRoEAO2i8yyljBPg==.jpg"}}",
mdmGroupId: "R0401001",
picVersion: "2010",
auxdescription: "小鸭加厚款！爸妈喜欢！别再手洗衣服啦！对自己好点儿！晒单还送洗衣球和5冷饮费哦！",
activationFlag: "1",
appAttrTitle: [
"双桶双缸",
"低噪静音",
"洗脱同步"
],
attrShow: [
{
attrAppValue: "4-5.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4-5.9kg",
attrValueId: "1199976",
sort: "39.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
paramValue: "XPB45-2848CS",
goodType: "Z001",
commentShow: "7300+"
},
saleStatus: 0
},
{
partnumberVendorId: "610809593_0070135068",
vendorId: "0070135068",
vendorName: "北极熊电器官方旗舰店",
inventory: "0",
auxdescription: "7公斤半自动 双缸洗衣机 大容量老人家用半自动洗衣机 全国联保上门服务",
brandId: "000023L61",
brandName: "海飞(Haifei)",
catentdesc: "海飞(Haifei)XPB130-8130S /S1357 13kg超大容量半自动波轮洗衣机",
catentryId: "",
countOfarticle: "21",
partnumber: "610809593",
price: "499.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "100.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"499.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"4104748531342125423","short_brand_Id_1":"14729591945968508897","isKAcomoodity":"1","totalCount":"0.000000","countOfarticle":"21","praiseRate":"100.000000","goodsQualityScore":"0.000040","shopQualityScore":"0.762370","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"21","categoryId":"244006","goodQualityScore":"0.000030","totalScore":"3980.988770","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"21","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.397993","goodQualityScore":"0.000030","shopQualityScore":"0.762370","goodAppQualityScore":"0.000130","goodConQualityScore":"0.810000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.116279","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
subInfos: "{"610809593":{"url":"/uimg1/b2c/image/6XmzXu89VdSsjB9J1B8o8g==.jpg"}}",
mdmGroupId: "R0401001",
picVersion: "2002",
auxdescription: "7公斤半自动 双缸洗衣机 大容量老人家用半自动洗衣机 全国联保上门服务",
ZYLY: "0",
appAttrTitle: [
"洗脱分离",
"超大容量",
"强劲动力"
],
attrShow: [
{
attrAppValue: "10kg及以上",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "10kg及以上",
attrValueId: "1199988",
sort: "39.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://banshen.suning.com",
paramValue: "XPB130-8130S",
goodType: "Z001",
commentShow: "20+"
},
saleStatus: 0
},
{
partnumberVendorId: "607408447_0070167432",
vendorId: "0070167432",
vendorName: "柏帆电器旗舰店",
inventory: "0",
auxdescription: "【透明钢化玻璃】【LED数码显示】【十档水位】",
brandId: "000023L61",
brandName: "海飞(Haifei)",
catentdesc: "海飞全自动小型4.5公斤风干正品XQB45-945家用静音单筒洗衣机",
catentryId: "",
countOfarticle: "274",
partnumber: "607408447",
price: "499.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "99.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"499.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"7301041014369649991","short_brand_Id_1":"14729591945968508897","isKAcomoodity":"1","totalCount":"3.000000","countOfarticle":"274","praiseRate":"99.000000","goodsQualityScore":"0.000180","shopQualityScore":"0.728410","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"274","categoryId":"244006","goodQualityScore":"0.000140","totalScore":"3980.988770","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"274","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.549321","goodQualityScore":"0.000140","shopQualityScore":"0.728410","goodAppQualityScore":"0.000340","goodConQualityScore":"0.840000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.020000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
mdmGroupId: "R0401002",
picVersion: "2008",
auxdescription: "【透明钢化玻璃】【LED数码显示】【十档水位】",
ZYLY: "0",
attrShow: [
{
attrAppValue: "4-5.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4-5.9kg",
attrValueId: "1199976",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://bofandianqi.suning.com",
paramValue: "XQB45-945/Q4546",
goodType: "Z001",
commentShow: "200+"
},
saleStatus: 0
},
{
partnumberVendorId: "10028008454_0070159386",
vendorId: "0070159386",
vendorName: "海飞官方旗舰店",
inventory: "0",
auxdescription: "异形圆弧透明钢化玻璃翻盖，十档电子水位，钻石形不锈钢内桶",
brandId: "000023L61",
brandName: "海飞(Haifei)",
catentdesc: "海飞小型全自动4.5公斤风干正品XQB45-945家用静音单筒洗衣机",
catentryId: "",
countOfarticle: "242",
partnumber: "10028008454",
price: "499.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "99.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"499.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"17183266655184636631","short_brand_Id_1":"14729591945968508897","isKAcomoodity":"1","totalCount":"18.000000","countOfarticle":"242","praiseRate":"99.000000","goodsQualityScore":"0.000580","shopQualityScore":"0.649590","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"242","categoryId":"244006","goodQualityScore":"0.000410","totalScore":"3980.988770","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"242","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.543776","goodQualityScore":"0.000410","shopQualityScore":"0.649590","goodAppQualityScore":"0.000520","goodConQualityScore":"0.810000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.000000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
mdmGroupId: "R0401002",
picVersion: "2004",
auxdescription: "异形圆弧透明钢化玻璃翻盖，十档电子水位，钻石形不锈钢内桶",
ZYLY: "0",
attrShow: [
{
attrAppValue: "4-5.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4-5.9kg",
attrValueId: "1199976",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://haifei.suning.com",
paramValue: "XQB45-945/Q4549",
goodType: "Z001",
commentShow: "200+"
},
saleStatus: 0
},
{
partnumberVendorId: "10534304333_0070211741",
vendorId: "0070211741",
vendorName: "果壹冰洗专营店",
inventory: "0",
auxdescription: "蓝光抑菌 洗脱两用",
brandId: "0000264X5",
brandName: "HYUNDAI",
